id,name,description,category,difficulty,prep_time_minutes,cook_time_minutes,servings,calories,protein,carbs,fat,fiber,sugar,sodium,ingredients_count,ingredients_json,instructions_length,instructions_preview,diet_types,meal_types,allergens,tags,is_system,is_featured
8285175d-001f-423a-a003-767879ed788c,BOWL 10 - Bowl Post-Workout de Salmón  Patata,Receta dinner,dinner,easy,10,0,1,505,29.2,47.4,23.8,4.74,7.11,400.0,8,"[{""raw"": ""- 150 g de Salmón""}, {""raw"": ""- 200 g de Patata cocida""}, {""raw"": ""- 100 g de Brócoli al vapor""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 10 ml de Zumo de limón""}, {""raw"": ""- 2 g de Sal""}, {""raw"": ""- 1 g de Pimienta negra""}]",284,"1. Corta la patata cocida en cubos y saltéala 2 minutos con una pizca de sal y orégano.
2. Cocina el...",,dinner,,,True,False
310b4c55-6f2f-4653-af99-457a920ba178,BOWL 11 - Bowl de Pavo  Arroz Jazmín,Receta lunch,lunch,medium,20,0,1,499,37.7,60.2,11.8,6.02,9.03,400.0,8,"[{""raw"": ""- 150 g de Pavo""}, {""raw"": ""- 150 g de Arroz jazmín cocido""}, {""raw"": ""- 80 g de Pimiento rojo""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 100 g de Espárragos""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 2 g de Sal""}, {""raw"": ""- 1 g de Pimienta negra""}]",535,"1. Cocina el pavo en una sartén con aceite de oliva, sal y pimienta durante 4-5 minutos hasta que es...",,lunch,,,True,False
42775416-543e-4e37-b6f1-15384921d330,BOWL 12 - Bowl Omega de Caballa  Aguacate,Receta lunch,lunch,medium,20,0,1,440,22.9,15.3,33.3,1.53,2.29,400.0,8,"[{""raw"": ""- 120 g de Caballa""}, {""raw"": ""- 60 g de Aguacate""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 50 g de Espinacas frescas""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 10 ml de Zumo de limón""}, {""raw"": ""- 2 g de Sal""}]",487,"1. Cocina el caballa en una sartén o plancha con aceite de oliva, sal y pimienta durante 3-4 minutos...",,lunch,,,True,False
dcaa978f-9e84-40d0-b83c-26491b82d27c,BOWL 13 - Bowl de Sardinas  Patata  Salad Mix,Receta lunch,lunch,medium,20,0,1,497,30.5,46.0,21.6,4.6,6.9,400.0,8,"[{""raw"": ""- 100 g de Sardinas""}, {""raw"": ""- 200 g de Patata cocida""}, {""raw"": ""- 50 g de Lechuga/Salad mix""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 10 ml de Zumo de limón""}, {""raw"": ""- 2 g de Sal""}]",546,"1. Cocina el sardinas en una sartén o plancha con aceite de oliva, sal y pimienta durante 3-4 minuto...",,lunch,,,True,False
63242e3c-9b2a-4b81-8ff3-5db15b9149af,BOWL 14 - Bowl Vegetariano Proteico de Hummus,Receta lunch,lunch,medium,20,0,1,442,13.5,56.5,18.7,5.65,8.47,400.0,8,"[{""raw"": ""- 60 g de Hummus""}, {""raw"": ""- 150 g de Quinoa cocida""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 80 g de Pimiento rojo""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 50 g de Espinacas frescas""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 2 g de Sal""}]",501,"1. Prepara el hummus (si es necesario cocinarlo) o úsalo directamente si ya está listo.
3. Cocina la...",,lunch,,,True,False
6d74e5ff-cd82-40d2-94e1-3e7947bc0f22,BOWL 15 - Bowl Vegetariano de Arroz  Queso,Receta lunch,lunch,medium,20,0,1,440,16.9,66.7,12.8,6.67,10.01,400.0,8,"[{""raw"": ""- 150 g de Arroz blanco cocido""}, {""raw"": ""- 60 g de Queso fresco batido""}, {""raw"": ""- 100 g de Brócoli al vapor""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 80 g de Pimiento rojo""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 2 g de Sal""}]",478,"1. Prepara los ingredientes principales según sea necesario.
3. Cocina el arroz blanco cocido según ...",,lunch,,,True,False
02e6702f-4a54-4d00-a6a7-8ff0e206e522,BOWL 16 - Bowl Vegano de Lentejas  Verduras,Receta lunch,lunch,medium,20,0,1,353,17.0,49.3,11.4,4.93,7.4,400.0,8,"[{""raw"": ""- 150 g de Lentejas cocidas""}, {""raw"": ""- 100 g de Brócoli al vapor""}, {""raw"": ""- 80 g de Pimiento rojo""}, {""raw"": ""- 50 g de Cebolla morada""}, {""raw"": ""- 80 g de Tomate cherry""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 2 g de Sal""}, {""raw"": ""- 1 g de Pimienta negra""}]",474,"1. Prepara el lentejas cocidas (si es necesario cocinarlo) o úsalo directamente si ya está listo.
2....",,lunch,,,True,False
4136de18-3c55-48a7-a15f-6895ea3fdf6f,BOWL 17 - Bowl Vegano de Quinoa  Tofu,Receta lunch,lunch,medium,20,0,1,574,25.9,53.6,31.4,5.36,8.04,400.0,8,"[{""raw"": ""- 150 g de Tofu firme""}, {""raw"": ""- 150 g de Quinoa cocida""}, {""raw"": ""- 100 g de Brócoli al vapor""}, {""raw"": ""- 80 g de Pimiento rojo""}, {""raw"": ""- 60 g de Aguacate""}, {""raw"": ""- 10 ml de Aceite de oliva virgen extra""}, {""raw"": ""- 2 g de Sal""}, {""raw"": ""- 1 g de Pimienta negra""}]",528,"1. Corta el tofu firme en cubos y saltéalo en una sartén con aceite de oliva, sal y pimienta durante...",,lunch,,,True,False
26ef267f-d542-468a-9597-74b769e19b78,BOWL 18 - Bowl Mediterráneo de,Receta lunch,lunch,easy,10,0,1,708,48.0,58.0,16.0,4.0,4.0,792.0,8,"[{""raw"": ""160 g de langostinos pelados""}, {""raw"": ""180 g de boniato cocido""}, {""raw"": ""120 g de aguacate""}, {""raw"": ""100 g de tomate cherry""}, {""raw"": ""60 g de espinacas""}, {""raw"": ""10 g de AOVE""}, {""raw"": ""Sal, pimienta, limón""}, {""raw"": ""Ajo en polvo (opcional)""}]",223,"1. Saltea los langostinos 2–3 min con sal, pimienta y un toque de ajo.
2. Corta el boniato en cubos ...",,lunch,,,True,False
91110b99-8af1-43f0-b12b-4b3ef3cd99b8,BOWL 19 - Bowl Black Marisco,Receta lunch,lunch,medium,15,0,1,699,36.0,53.0,29.0,11.0,18.0,477.0,8,"[{""raw"": ""200 g de calamares limpios""}, {""raw"": ""160 g de arroz cocido (blanco o jazmín)""}, {""raw"": ""120 g de pimiento rojo""}, {""raw"": ""80 g de cebolla""}, {""raw"": ""10 g de AOVE""}, {""raw"": ""Lima o limón""}, {""raw"": ""Sal, pimienta, cúrcuma""}, {""raw"": ""Perejil""}]",297,"1. Corta calamares en anillas y saltéalos 3–4 min con AOVE, sal y cúrcuma.
2. Añade la cebolla y el ...",,lunch,,,True,False
