id,created_at,updated_at,name,description,instructions,category,muscle_groups,equipment,difficulty,video_url,image_url,google_drive_file_id,video_file,thumbnail,is_system,is_active,tags,created_by_id
e101c389-715d-4c1c-a202-74e198c25309,2025-11-30 19:47:25.46218+00,2025-12-26 12:16:37.322183+00,Prensa con Pies Arriba,Variante de prensa con pies altos para mayor énfasis en Glúteos e isquiotibiales.,"1. Siíntate en la prensa con la espalda bien apoyada.
2. Coloca los pies en la parte ALTA de la plataforma.
3. Los pies deben quedar al ancho de hombros o ligeramente m??s.
4. Baja el peso hasta que las rodillas se acerquen al pecho.
5. Empuja enfoc??ndote en usar los Glúteos y femorales.
6. No bloquees las rodillas en la extensiín.",strength,"[""gl??teos"", ""isquiotibiales"", ""cu??driceps""]","[""m??quina prensa de piernas""]",beginner,https://drive.google.com/file/d/10J96DFcJaQEDscZhbYPqA12ybVjBmj-r/preview,,10J96DFcJaQEDscZhbYPqA12ybVjBmj-r,,,t,t,[],
ad0cfb2a-c96b-4dfb-aef5-cd47cdbd3809,2025-11-30 19:47:25.458928+00,2025-12-26 12:16:37.299973+00,Extensión de Tríceps en Polea Alta con Barra Z,Extensión de Tríceps con barra EZ para una posiciín de muéeca més natural.,"1. Coloca la barra EZ en la polea alta.
2. Agarra la barra en las curvas con las palmas hacia abajo.
3. Mant??n los codos pegados a los costados.
4. Extiende los brazos completamente hacia abajo.
5. Aprieta los Tríceps en la extensiín m??xima.
6. Flexiona los codos para volver, sin que suban del punto inicial.",strength,"[""tr??ceps""]","[""polea alta"", ""barra EZ""]",beginner,https://drive.google.com/file/d/1qbXJ1yL4KD-FKzAEYYpDmGFVlXKmDmkx/preview,,1qbXJ1yL4KD-FKzAEYYpDmGFVlXKmDmkx,,,t,t,[],
1fb9dad8-aa24-4aea-a3ac-c3e166e258df,2025-11-30 19:47:25.448649+00,2025-12-23 12:45:35.354791+00,Jalón al Pecho en Máquina,Jalón guiado en máquina específica para un movimiento més controlado y aislado.,"1. Ajusta el asiento para que los cojines sujeten bien los muslos.
2. Agarra las manijas con el agarre que proporciona la máquina.
3. Mant??n el pecho elevado y la espalda ligeramente arqueada.
4. Tira las manijas hacia el pecho superior.
5. Contrae los dorsales y mant??n un segundo.
6. Regresa controladamente sin soltar la tensiín.",strength,"[""dorsales"", ""romboides"", ""b??ceps""]","[""m??quina de jal??n""]",beginner,https://drive.google.com/file/d/1d6-IC09jrlVTwIQ4WeiH6heEV6784Dy2/preview,,1d6-IC09jrlVTwIQ4WeiH6heEV6784Dy2,,,t,t,[],
5e5d4a17-102a-4200-9f4e-f8b141a547ae,2025-11-30 19:47:25.449609+00,2025-12-23 12:45:35.398754+00,Remo Agarre Neutro en Polea Baja,Remo sentado con agarre neutro que desarrolla grosor en la espalda media.,"1. Siíntate frente a la polea baja con los pies en los apoyos.
2. Usa un accesorio de agarre neutro (palmas enfrentadas).
3. Mant??n la espalda recta, rodillas ligeramente flexionadas.
4. Tira del accesorio hacia el abdomen, llevando los codos hacia atr??s.
5. Aprieta los om??platos juntos en la contracciín.
6. Extiende los brazos completamente, dejando que los hombros vayan hacia adelante para estirar.",strength,"[""dorsales"", ""romboides"", ""trapecio medio"", ""b??ceps""]","[""polea baja"", ""accesorio agarre neutro""]",beginner,https://drive.google.com/file/d/1JbcgChHQxwLLnT3xBMDumM3hsexU-Ch_/preview,,1JbcgChHQxwLLnT3xBMDumM3hsexU-Ch_,,,t,t,[],
8a605b85-5b02-4033-9054-52e2a000bc44,2025-11-30 19:47:25.473094+00,2025-12-26 12:16:37.302782+00,Hiperextensiones con Lastre,Hiperextensiones con peso adicional para mayor intensidad.,"1. Col??cate en el banco de hiperextensiones.
2. Sujeta un disco contra el pecho o detr??s de la cabeza.
3. Mant??n el disco bien sujeto durante todo el movimiento.
4. Baja controladamente flexionando las caderas.
5. Sube hasta la posiciín neutral contrayendo Glúteos y espalda.
6. Evita balanceos o movimientos bruscos.",strength,"[""erectores espinales"", ""gl??teos"", ""isquiotibiales""]","[""banco de hiperextensiones"", ""disco""]",intermediate,https://drive.google.com/file/d/1gfpkYJ9hIqEwjPvYN6TWTgW-hUpyKC2n/preview,,1gfpkYJ9hIqEwjPvYN6TWTgW-hUpyKC2n,,,t,t,[],
37714b1e-8214-43d6-872d-90ad45ac3e46,2025-11-30 19:47:25.444873+00,2025-12-23 12:45:35.348446+00,Jalón al Pecho Agarre Prono,"Ejercicio fundamental para desarrollar la anchura de la espalda, especialmente los dorsales.","1. Siíntate en la máquina con los muslos bien sujetos bajo los cojines.
2. Agarra la barra con las palmas mirando hacia adelante (agarre prono), manos m??s anchas que los hombros.
3. Inclina ligeramente el torso hacia atr??s (unos 10-15 grados).
4. Tira de la barra hacia la parte superior del pecho, llevando los codos hacia abajo y atr??s.
5. Aprieta los om??platos juntos en la contracciín m??xima.
6. Regresa controladamente hasta estirar completamente los dorsales.",strength,"[""dorsales"", ""romboides"", ""b??ceps"", ""trapecio""]","[""m??quina de jalones"", ""barra larga""]",beginner,https://drive.google.com/file/d/1390hWUbCEeSoG-y4Xjaok3nIngc00ZRB/preview,,1390hWUbCEeSoG-y4Xjaok3nIngc00ZRB,,,t,t,[],
a58584b1-416f-43aa-b05e-52321997032f,2025-11-30 19:47:25.441755+00,2025-12-26 12:16:37.332081+00,Press Banca Agarre Estrecho en Multipower,Variante con agarre cerrado que transfiere mayor énfasis a los Tríceps mientras trabaja el pecho.,"1. Acuústate en el banco con la espalda bien apoyada.
2. Agarra la barra con las manos separadas al ancho de los hombros o ligeramente menos.
3. Mant??n los codos cerca del cuerpo durante todo el movimiento.
4. Baja la barra hasta la parte baja del pecho.
5. Empuja hacia arriba enfoc??ndote en la extensiín de los Tríceps.
6. No separes los codos hacia afuera.",strength,"[""tr??ceps"", ""pectorales"", ""deltoides anterior""]","[""multipower"", ""banco plano""]",beginner,https://drive.google.com/file/d/1y1WwWK7wIZ2jXCJZc6PMp04KPAZZfRef/preview,,1y1WwWK7wIZ2jXCJZc6PMp04KPAZZfRef,,,t,t,[],
56c6020d-6e99-4c5f-80a8-41d0064c44e2,2025-11-30 19:47:25.440639+00,2025-12-23 12:45:35.37767+00,Press Banca Agarre Abierto en Multipower,Press de banca con agarre amplio para mayor énfasis en el estiramiento y contracciín del pectoral.,"1. Acuústate en el banco plano del multipower.
2. Toma la barra con un agarre m??s amplio de lo normal (1.5-2 veces el ancho de hombros).
3. Mant??n los codos apuntando hacia afuera durante el movimiento.
4. Baja la barra hasta tocar el pecho en la zona media.
5. Empuja hacia arriba enfoc??ndote en apretar los pectorales.
6. El rango de movimiento ser?? menor debido al agarre amplio.",strength,"[""pectorales"", ""deltoides anterior""]","[""multipower"", ""banco plano""]",intermediate,https://drive.google.com/file/d/1B2cph_0pQrZwlzAbIiOY2e_-UFoMwmO_/preview,,1B2cph_0pQrZwlzAbIiOY2e_-UFoMwmO_,,,t,t,[],
915a261a-9e4d-4924-a9cd-6d5b6c0a9ad1,2026-01-13 15:29:43.121323+00,2026-01-13 15:29:43.121339+00,Parada de Glúteo Tumbado/a,Ejercicio de asilamiento para desarrollar el glúteo,"1.	Colócate tumbado/a en la máquina con el core bien activado y las manos agarrando las asas; apoya el pie del lado que trabajas en la plataforma o rodillo, con la rodilla ligeramente flexionada. 

2) Mantén la espalda neutra, sin arquear la zona lumbar. 

3) Empuja con el talón hacia atrás y arriba, como si quisieras “alejar” el pie del cuerpo, moviendo solo la cadera. 

4) Sube hasta notar el glúteo apretado, sin girar la cadera ni arquear la espalda. 

5) Baja despacio y controlado hasta la posición inicial y repite manteniendo siempre la tensión en el glúteo.",strength,"[""Glúteo""]","[""Máquina""]",beginner,,,,,,f,t,[],
608aab0d-a501-472c-a6e1-9ecf329a73d0,2026-01-08 22:56:41.265464+00,2026-01-22 11:59:28.030284+00,Curl Martillo,,"Coge dos mancuernas, coloca las palmas de tus manos mirándose entre sí, y el pulgar hacia arriba. 

Flexiona los codas hasta llevar las mancuernas desde tu cadera hasta la altura del pecho.

Desciende en 2 a 3 segundos para volver a la posición inicial.",strength,"[""Bíceps"", ""Antebrazo""]","[""Mancuernas""]",beginner,,,,,,f,t,[],
9f615dd5-c613-4644-b89a-44812d646fb1,2026-01-13 15:33:57.363406+00,2026-01-13 15:33:57.363419+00,Sentadilla Búlgara en Máquina,Excelente ejercicio para desarrollar el glúteo y las piernas mientras evitas descompensaciones,"1.	Colócate de pie frente a la máquina y apoya el pie trasero en el soporte, dejando el pie delantero bien plantado en el suelo o plataforma.

2) Ajusta la distancia para que, al bajar, la rodilla delantera se flexione sin que el talón se levante. 

3) Activa el abdomen y mantén el pecho erguido. 

4) Baja de forma controlada flexionando la pierna delantera hasta notar el trabajo en glúteo y cuádriceps, sin dejar que la rodilla se meta hacia dentro (abre la cadera ligeramente) 

5) Empuja con el talón delantero para subir y vuelve a la posición inicial, manteniendo el equilibrio y repitiendo el movimiento.",strength,"[""Glúteo"", ""Cuádriceps""]","[""Máquina""]",intermediate,,,,,,f,t,[],
faf53523-044c-4c2c-8c8c-6a3251f74e6f,2025-11-30 19:47:25.451964+00,2025-11-30 19:49:38.326133+00,Remo con Barra,Ejercicio compuesto fundamental para desarrollar fuerza y masa en toda la espalda.,"1. De pie con los pies al ancho de hombros, agarra la barra con agarre prono.
2. Flexiona las caderas e inclina el torso hacia adelante (45-60 grados).
3. Mant??n la espalda recta y las rodillas ligeramente flexionadas.
4. Tira de la barra hacia el abdomen bajo, llevando los codos hacia atr??s.
5. Aprieta los om??platos al final del movimiento.
6. Baja controladamente hasta extender los brazos.",strength,"[""dorsales"", ""trapecio"", ""romboides"", ""erectores espinales"", ""b??ceps""]","[""barra"", ""discos""]",intermediate,https://drive.google.com/file/d/1k-mSCHfazJakXePDQKaxKqhSAnC35IDs/preview,,1k-mSCHfazJakXePDQKaxKqhSAnC35IDs,,,t,t,[],
d7ec3ab1-9890-485b-8e49-4a5c6cde3dbb,2026-01-13 15:59:09.536315+00,2026-01-13 15:59:09.536336+00,Remo en Máquina Sentado/a,Ejercicio perfecto para desarrollar una espalda con detalle,"1.	Siéntate en la máquina con la espalda recta y el pecho erguido, pies bien apoyados y rodillas ligeramente flexionadas. 

2) Agarra las asas con los brazos estirados y activa el abdomen. 

3) Tira de las asas hacia tu ombligo llevando los codos atrás y juntando los omóplatos, sin balancearte. 

4) Aprieta la espalda un segundo al final del movimiento.

5) Vuelve despacio a estirar los brazos, manteniendo el control y repite.",strength,"[""Espalda"", ""Bíceps"", ""Trapecio""]","[""Máquina""]",beginner,,,,,,f,t,[],
eb9e3491-5a9e-4a76-aa7e-e456c8483dde,2025-11-30 19:47:25.477815+00,2025-11-30 19:49:38.283162+00,Crunch Abdominal en Polea Alta,Crunch con resistencia para desarrollar los abdominales con carga progresiva.,"1. Arrod??llate frente a una polea alta con cuerda.
2. Agarra la cuerda con ambas manos junto a las sienes.
3. Mant??n las caderas fijas, no las muevas.
4. Flexiona el tronco llevando los codos hacia las rodillas.
5. Contrae fuertemente los abdominales.
6. Regresa controladamente sin arquear la espalda.",strength,"[""recto abdominal"", ""oblicuos""]","[""polea alta"", ""cuerda""]",beginner,https://drive.google.com/file/d/1Ek73nCGDcZDKHPa33_x6GDxf_ngbkxZj/preview,,1Ek73nCGDcZDKHPa33_x6GDxf_ngbkxZj,,,t,t,[],
4a21d6a1-6928-4bde-8e15-d72cc882fbe8,2025-11-30 19:47:25.450466+00,2025-12-23 12:45:35.401584+00,Remo Agarre Prono Abierto en Polea Baja,Remo con agarre ancho y prono para enfatizar deltoides posterior y trapecio.,"1. Siíntate frente a la polea baja con una barra larga.
2. Agarra con las palmas hacia abajo, manos m??s anchas que los hombros.
3. Mant??n el torso erguido y estable.
4. Tira hacia el pecho alto/cuello, con los codos apuntando hacia afuera.
5. Enf??cate en juntar los om??platos y contraer el trapecio.
6. Baja controladamente manteniendo la tensiín.",strength,"[""trapecio"", ""romboides"", ""deltoides posterior"", ""dorsales""]","[""polea baja"", ""barra larga""]",intermediate,https://drive.google.com/file/d/1HVebrts9hnax1TjPFK8o7xo0-Nzg8pu7/preview,,1HVebrts9hnax1TjPFK8o7xo0-Nzg8pu7,,,t,t,[],
bb74b68d-b284-4f2d-839a-d344dfeacb61,2025-11-30 19:47:25.45352+00,2025-12-23 12:45:35.325543+00,Dominada Prona,"El ejercicio rey para desarrollar la espalda, especialmente la anchura del dorsal.","1. Cuúlgate de la barra con agarre prono, manos m??s anchas que los hombros.
2. Comienza con los brazos completamente extendidos (dead hang).
3. Inicia el movimiento retrayendo los om??platos.
4. Tira de tu cuerpo hacia arriba hasta que la barbilla supere la barra.
5. Mant??n el core activado y evita balanceos.
6. Baja de forma controlada hasta la extensiín completa.",strength,"[""dorsales"", ""b??ceps"", ""trapecio"", ""romboides""]","[""barra de dominadas""]",advanced,https://drive.google.com/file/d/1leoAPT-gfW5-vi6p7aw2-Et1BqCroOfV/preview,,1leoAPT-gfW5-vi6p7aw2-Et1BqCroOfV,,,t,t,[],
